ID,事件名称,事件简介,事件效果,持续回合
30,神秘气体,在一次地震之中，你们的巢穴裂开了许多口子，从中溢出了许多白色气体，在确认无害之后你们没有在乎它，但当你们无法停止地开始繁衍的时候，你们才发现出大问题了,下回合捕食效率/2；种群数量+10%,1
31,天降绿光,在一个没有月光的夜晚，一道绿光穿过云层，照在你的一名同伴身上，随后你们惊讶地发现，他明明没有翅膀，但是却在向上飘，无论你们怎么尝试也无法打开绿光外壳，只能眼睁睁看着他离开,种群数量-1（最小为1）,1
32,恶客临门,天知道你们的邻居怎么想的，他们纠结了一大堆猎食者蹲在你们的门口，等待着你们用食物打发他们，祝愿这些家伙早日饿死！,有机质-20%,1
33,求取食物,当你们的仓库已经见底的时候，一位年龄相当大的同族提了个主意，让我们拉着其他种族去求取食物， 希望这招有用,有机质+20%,1
34,教育者,一位年龄相当大的族人已经失去了捕猎的能力，你力排众议决定用仓库的食物供养他，让你惊喜的是，他也投桃报李，传下了许多你们从未听说过的捕猎技巧,有机质-5%；下回合捕食效率*2,1
35,适者生存,一位年龄相当大的族人已经失去了捕猎的能力，你闭上了眼睛，躲开了他祈求的眼神，这里不养没有捕猎能力的家伙,有机质+10%;种群数量-1,1
36,虫潮,小虫子是你们从不在乎的背景板，但是当数不尽的虫子从地穴中喷涌而出的时候，你们发现自己错了，快跑！,速度超过5时，有机质-10%；速度未超过5时，有机质-20%,1
37,返乡之宴,一大群家伙正在经过这片地区，你们不知道为什么这些家伙宁死也要回到自己出生的地方，但是你知道，大餐时间到,速度超过5时，捕食效率*2；速度超过10时，捕食效率*4,1
38,毒液星球,不知道从什么时候开始，你发现越来越多的猎物选择用毒液作为保护自己的手段，要是没有抗毒能力，你们可能就得退出这场比赛了,脂肪度未超过5时，捕食效率*0；脂肪度超过5时，捕食效率*1,1
39,普罗米修斯,一只你们种群中最好奇的家伙在一个雷雨夜中离开，在第二天早上才回来，还带回了一朵半透明、特别烫的花朵，见鬼，那不是花朵，是天火的造物,下回合生物质总消耗-5（不低于1）,1
40,盗火者之殇,在那个盗取火焰的家伙老死之后，你们看着没人知道怎么喂食的火焰发呆，在喂食了大量肉块之后，火焰熄灭了，令人悲伤。,下回合生物质总消耗+5,1
